temperature_c,humidity_pct,yield_kg
32.79,36.38,61.22
24.46,75.51,72.38
37.84,39.78,55.78
20.6,47.03,67.03
20.53,45.94,66.5
30.9,47.12,75.55
36.19,35.36,56.31
33.96,53.71,74.23
39.14,53.51,64.48
21.93,81.61,62.04
36.14,75.14,63.87
39.46,55.82,67.82
36.59,69.02,69.87
31.55,73.75,71.42
24.56,50.92,75.96
24.66,40.56,67.6
32.71,55.07,78.57
24.19,49.68,77.6
32.96,68.5,74.11
34.58,43.99,65.26
39.79,70.2,61.83
33.69,81.36,63.64
24.58,36.77,64.2
25.35,46.6,76.94
37.53,52.31,68.55
27.91,85.3,68.9
25.3,48.56,77.09
25.25,67.15,82.21
27.99,47.06,82.33
30.19,40.0,68.25
22.19,69.51,74.15
28.44,38.49,71.38
39.92,64.1,68.74
37.22,35.63,54.35
33.63,64.53,76.86
32.82,41.14,66.09
29.07,87.46,66.86
25.27,62.53,83.52
38.25,82.88,52.15
32.78,68.49,74.37
35.25,64.67,75.86
30.61,35.03,64.13
20.39,86.1,56.33
36.63,51.91,67.42
37.56,87.08,48.76
29.72,38.81,70.88
35.32,42.06,62.58
31.0,49.58,78.71
28.46,46.65,79.31
34.6,46.06,66.82
39.9,70.74,60.67
30.35,41.66,70.16
26.76,67.36,82.06
24.4,38.9,67.05
24.58,84.8,64.96
21.42,48.09,70.11
24.28,42.28,71.1
31.42,61.0,86.08
36.15,45.47,62.64
28.62,58.3,89.22
34.58,72.04,71.26
21.97,57.14,77.93
37.23,48.68,63.96
28.97,58.2,87.75
25.0,85.78,63.17
37.23,65.27,68.85
39.99,80.98,53.41
38.53,81.68,52.2
29.71,46.76,76.61
21.17,55.84,77.9
25.3,78.12,70.65
28.46,87.65,68.27
31.12,74.51,71.94
25.93,88.28,63.14
30.84,76.14,70.59
31.68,62.66,84.39
23.15,87.84,56.53
23.72,67.73,78.04
24.7,41.59,71.05
24.92,67.7,80.0
28.38,67.1,85.02
38.69,46.23,61.23
24.77,56.77,83.97
26.0,52.39,82.56
21.45,60.21,82.01
39.92,39.03,50.52
25.3,86.33,64.97
37.59,55.32,69.16
36.67,73.69,64.52
39.74,70.97,59.03
36.34,51.47,69.96
38.78,42.39,55.21
22.14,65.43,75.65
32.1,74.47,70.41
32.68,49.52,74.1
38.11,81.54,52.79
28.47,50.22,80.37
35.42,70.04,68.66
34.82,65.34,74.63
20.19,39.14,60.7
38.08,65.01,70.69
31.65,43.15,68.77
26.17,84.44,67.89
37.21,84.44,52.27
24.99,40.65,70.29
37.68,57.35,72.67
23.09,86.14,61.09
39.52,79.59,55.16
20.5,75.51,63.87
38.62,79.12,57.13
